9
4854.1 150  2.25  3.83
4890.0 150  2.33  4.78
4910.0 150  2.29  3.97
4979.1 150  2.25  6.30
5078.1 150  2.21  4.11
5118.1 150  2.17  8.43
5146.0 150  2.25  4.63
5167.1 150  2.25  3.62
5191.0 150  2.29  2.43
