4790.00  0.0e+000  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.0e-004  9.3e-005  8.4e-005  7.6e-005  6.9e-005  6.3e-005  5.7e-005  5.1e-005  4.6e-005  4.2e-005  3.8e-005  3.4e-005 
4791.00  0.0e+000  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.0e-004  9.4e-005  8.5e-005  7.7e-005  7.0e-005  6.3e-005  5.7e-005  5.2e-005  4.7e-005  4.2e-005  3.8e-005  3.5e-005 
4792.00  0.0e+000  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.0e-004  9.5e-005  8.6e-005  7.7e-005  7.0e-005  6.3e-005  5.7e-005  5.2e-005  4.7e-005  4.2e-005  3.8e-005  3.5e-005 
4793.00  0.0e+000  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  9.5e-005  8.6e-005  7.8e-005  7.1e-005  6.4e-005  5.8e-005  5.2e-005  4.7e-005  4.3e-005  3.9e-005  3.5e-005 
4794.00  0.0e+000  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  9.6e-005  8.7e-005  7.8e-005  7.1e-005  6.4e-005  5.8e-005  5.3e-005  4.8e-005  4.3e-005  3.9e-005  3.5e-005 
4795.00  0.0e+000  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  9.7e-005  8.7e-005  7.9e-005  7.2e-005  6.5e-005  5.9e-005  5.3e-005  4.8e-005  4.3e-005  3.9e-005  3.6e-005 
4796.00  0.0e+000  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  9.7e-005  8.7e-005  7.9e-005  7.2e-005  6.5e-005  5.9e-005  5.3e-005  4.8e-005  4.3e-005  3.9e-005  3.6e-005 
4797.00  0.0e+000  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  9.7e-005  8.7e-005  7.9e-005  7.2e-005  6.5e-005  5.9e-005  5.3e-005  4.8e-005  4.3e-005  3.9e-005  3.6e-005 
4798.00  0.0e+000  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  9.7e-005  8.7e-005  7.9e-005  7.2e-005  6.5e-005  5.9e-005  5.3e-005  4.8e-005  4.3e-005  3.9e-005  3.6e-005 
4799.00  0.0e+000  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  1.1e-004  9.7e-005  8.7e-005  7.9e-005  7.2e-005  6.5e-005  5.9e-005  5.3e-005  4.8e-005  4.3e-005  3.9e-005  3.6e-005 
