9
4854.1 150  2.25  0.29
4890.0 150  2.33  0.33
4910.0 150  2.29  0.36
4979.1 150  2.25  0.17
5078.1 150  2.21  0.26
5118.1 150  2.17  0.30
5146.0 150  2.25  0.34
5167.1 150  2.25  0.25
5191.0 150  2.29  0.32
